country,plot_name,date,value
Portugal  April 5. 2020,Retail & recreation,2020-02-23,8.275
Portugal  April 5. 2020,Retail & recreation,2020-02-24,18.48
Portugal  April 5. 2020,Retail & recreation,2020-02-25,-2.205
Portugal  April 5. 2020,Retail & recreation,2020-02-26,-0.042
Portugal  April 5. 2020,Retail & recreation,2020-02-27,4.438
Portugal  April 5. 2020,Retail & recreation,2020-02-28,2.092
Portugal  April 5. 2020,Retail & recreation,2020-02-29,-0.124
Portugal  April 5. 2020,Retail & recreation,2020-03-01,-7.574
Portugal  April 5. 2020,Retail & recreation,2020-03-02,2.546
Portugal  April 5. 2020,Retail & recreation,2020-03-03,-0.661
Portugal  April 5. 2020,Retail & recreation,2020-03-04,2.163
Portugal  April 5. 2020,Retail & recreation,2020-03-05,3.008
Portugal  April 5. 2020,Retail & recreation,2020-03-06,0.063
Portugal  April 5. 2020,Retail & recreation,2020-03-07,3.202
Portugal  April 5. 2020,Retail & recreation,2020-03-08,-0.928
Portugal  April 5. 2020,Retail & recreation,2020-03-09,-0.041
Portugal  April 5. 2020,Retail & recreation,2020-03-10,0.136
Portugal  April 5. 2020,Retail & recreation,2020-03-11,-1.208
Portugal  April 5. 2020,Retail & recreation,2020-03-12,-8.668
Portugal  April 5. 2020,Retail & recreation,2020-03-13,-26.627
Portugal  April 5. 2020,Retail & recreation,2020-03-14,-47.352
Portugal  April 5. 2020,Retail & recreation,2020-03-15,-62.332
Portugal  April 5. 2020,Retail & recreation,2020-03-16,-49.786
Portugal  April 5. 2020,Retail & recreation,2020-03-17,-54.014
Portugal  April 5. 2020,Retail & recreation,2020-03-18,-54.89
Portugal  April 5. 2020,Retail & recreation,2020-03-19,-66.704
Portugal  April 5. 2020,Retail & recreation,2020-03-20,-77.158
Portugal  April 5. 2020,Retail & recreation,2020-03-21,-80.509
Portugal  April 5. 2020,Retail & recreation,2020-03-22,-82.934
Portugal  April 5. 2020,Retail & recreation,2020-03-23,-73.676
Portugal  April 5. 2020,Retail & recreation,2020-03-24,-73.481
Portugal  April 5. 2020,Retail & recreation,2020-03-25,-73.704
Portugal  April 5. 2020,Retail & recreation,2020-03-26,-73.992
Portugal  April 5. 2020,Retail & recreation,2020-03-27,-75.02
Portugal  April 5. 2020,Retail & recreation,2020-03-28,-79.246
Portugal  April 5. 2020,Retail & recreation,2020-03-29,-83.367
Portugal  April 5. 2020,Retail & recreation,2020-03-30,-74.437
Portugal  April 5. 2020,Retail & recreation,2020-03-31,-71.818
Portugal  April 5. 2020,Retail & recreation,2020-04-01,-72.795
Portugal  April 5. 2020,Retail & recreation,2020-04-02,-70.204
Portugal  April 5. 2020,Retail & recreation,2020-04-03,-72.444
Portugal  April 5. 2020,Retail & recreation,2020-04-04,-78.013
Portugal  April 5. 2020,Retail & recreation,2020-04-05,-84.19
Portugal  April 5. 2020,Grocery & pharmacy,2020-02-23,4.574
Portugal  April 5. 2020,Grocery & pharmacy,2020-02-24,12.275
Portugal  April 5. 2020,Grocery & pharmacy,2020-02-25,-0.072
Portugal  April 5. 2020,Grocery & pharmacy,2020-02-26,3.941
Portugal  April 5. 2020,Grocery & pharmacy,2020-02-27,5.498
Portugal  April 5. 2020,Grocery & pharmacy,2020-02-28,9.576
Portugal  April 5. 2020,Grocery & pharmacy,2020-02-29,6.7
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-01,2.61
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-02,8.839
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-03,6.925
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-04,7.079
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-05,8.023
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-06,6.94
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-07,4.29
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-08,5.738
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-09,11.284
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-10,17.036
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-11,26.285
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-12,28.197
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-13,22.829
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-14,-9.55
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-15,-32.525
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-16,-15.872
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-17,-19.608
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-18,-18.846
